lr,weight_decay,droprate,numLayer_Res,AUC,F1,Weighted_Score,Trial
2.210560918758515e-05,0.0006198618183632474,0.2503235598644957,0,0.7875252525252526,0.34879672299027137,0.6120338407112601,0
4.49802356395971e-05,4.031117225215412e-05,0.22639187454159052,0,0.7821212121212122,0.38161375661375657,0.62191822991823,1
0.00022959478806043276,0.00046784740841608537,0.3515074219025166,1,0.7666666666666666,0.20733029711559314,0.5429321188462373,2
9.30975410358371e-05,1.9474498987326312e-05,0.31138142729363216,1,0.7671212121212121,0.23956751782838737,0.5560997344040821,3
2.271067313505049e-05,0.000132283289981.4878733230558393e-05,6.372913437136123e-05,0.4926045224099254,0,0.8071717171717171,0.33768561187916024,0.6193772750546943,5
006987,0.29109909117159183,1,0.7928787878787878,0.3174025390405572,0.6026882883434955,4
0.00021816290685056842,0.00047847035008629626,0.49586368340585985,0,0.7576262626262626,0.22499388603570555,0.5445733119900398,6
0.00011159916364857691,0.00016435613021170396,0.2871305967763505,1,0.7691414141414142,0.2127563669145819,0.5465873952506812,7
0.0001468347631766654,0.00015875112649601174,0.41277808881907374,0,0.7866161616161617,0.21862538118695754,0.55941984944448,8
0.0001627201044126089,6.294209584566105e-05,0.49468212732940336,0,0.7852525252525252,0.20476798637718177,0.5530587097023878,9
