lr,weight_decay,droprate,numLayer_Res,AUC,F1,Weighted_Score,Trial
0.00014757179389641084,0.0004715104414790224,0.28230784362557354,0,0.7785858585858586,0.20733029711559314,0.5500836339977524,0
3.5619671363345314e-05,0.0007337388476565976,0.3688406223084466,1,0.7907070707070707,0.33867557798540543,0.6098944736184047,1
0.00020270750827946772,9.827961092579907e-05,0.4370823722155295,0,0.7718686868686868,0.23192848020434229,0.555892604202949,2
2.4287391042385938e-05,0.0005688020618119089,0.23794606541805996,1,0.7901010101010101,0.30482384823848235,0.5959901453559989,3
1.2141467888239433e-05,0.0006004083001312845,0.3166659598291641,0,0.8096969696969696,0.38086021505376344,0.6381622678396871,4
0.0002114738159872565,6.559224365444358e-05,0.4560779078470799,1,0.7814141414141414,0.17857142857142858,0.5402770562770562,5
8.977319697162506e-05,0.0005418906173158051,0.24138068006427416,1,0.7706565656565657,0.2313227513227513,0.5549230399230399,6
1.0314304767911298e-05,2.345460956053845e-05,0.4012371540524372,1,0.8158585858585857,0.4064222683351149,0.6520840588491974,7
0.0004771935923972496,0.0006823232821008896,0.2029411508042893,0,0.7372727272727273,0.22469135802469134,0.5322401795735129,8
3.238768288601016e-05,7.483623340799152e-05,0.26224932632360376,0,0.7925757575757576,0.3570395522857323,0.6183612754597475,9
1.0603765802074677e-05,1.077564658758799e-05,0.3721773972996476,1,0.8196464646464646,0.43056420475775314,0.66401356069098,10
1.0040518931148146e-05,1.1118937542173944e-05,0.39216383255983117,1,0.8166161616161616,0.43056420475775314,0.6621953788727982,11
1.7465821482635835e-05,1.194865022276015e-05,0.35712188463945743,1,0.8107070707070707,0.33867557798540543,0.6218944736184047,12
5.323160514776038e-05,1.0545221563004048e-05,0.48317784068417013,1,0.7936868686868687,0.36388888888888893,0.6217676767676767,13
1.9371761763817205e-05,2.948311435805833e-05,0.39523755872474153,1,0.8138383838383838,0.3401010708163583,0.6243434586295735,14
1.0200423591280735e-05,2.8294747671635806e-05,0.32507502033393304,1,0.8162121212121213,0.4064222683351149,0.6522961800613187,15
4.602258057370907e-05,0.00017243244149201984,0.41119390076738394,1,0.7854040404040404,0.3602092352092352,0.6153261183261183,16
1.5677009693016808e-05,1.5963719569848784e-05,0.3256428481560258,1,0.8127777777777778,0.33867557798540543,0.6231368978608289,17
