lr,weight_decay,droprate,Accuracy,F1,Accuracy_Loss,Trial
9.796701458912908e-05,0.0005900567110446261,0.22728024846555173,0.0,0.5110072478493531,1.0,0
0.00040548197461272805,0.00018613907346344723,0.21715670277528834,0.0,0.23684210526315788,1.0,1
0.0002012125253861091,9.724932255421515e-05,0.05347129657120651,0.0,0.412017787017787,1.0,2
0.0004658797100247109,0.0002572535648137262,0.1499180022524432,0.0,0.4033333333333333,1.0,3
0.00013573274330421227,5.063024502347718e-05,0.21842363937599216,0.0,0.5389103389103389,1.0,4
3.956594680662223e-05,0.00027993336007141724,0.18839271457297593,0.0,0.5205187766163376,1.0,5
1.0199434864500976e-05,3.101951561296034e-05,0.10362743847671006,0.0,0.5144695827048769,1.0,6
0.00010868337093247477,0.0002714040450263032,0.17672910628133254,0.0,0.4930640554875561,1.0,7
1.0797318581296948e-05,1.978324329310454e-05,0.21404395459609202,0.0,0.5335338345864661,1.0,8
0.0005209426958244731,1.1599849456459661e-05,0.25799027199878594,0.0,0.23684210526315788,1.0,9
3.768227944802859e-05,0.0005506921804380193,0.29872775765911824,0.0,0.4825343738387216,1.0,10
0.0008881443367780716,0.0008290785511539746,0.2535993191032181,0.0,0.23684210526315788,1.0,11
5.1745505913945706e-05,0.00012610614887542567,0.13065342802547825,0.0,0.5297389816003423,1.0,12
0.00023961527004124437,0.0005468385574706205,0.2600345168178738,0.0,0.35129949415663697,1.0,13
7.709066166749992e-05,0.00013045149183084581,0.00813991022990862,0.0,0.5222436722436723,1.0,14
0.0003098971767652929,0.0009715012209819378,0.295375740992868,0.0,0.23684210526315788,1.0,15
0.0009224791401597781,0.00039911319529282107,0.21727004676866218,0.0,0.24421359577182433,1.0,16
2.239471094578523e-05,8.038355922044954e-05,0.09773697439508125,0.0,0.4793040293040293,1.0,17
0.00015966185151459399,0.00017758601064452834,0.18290780322610525,0.0,0.412017787017787,1.0,18
0.00037648778671269304,0.00047225441932820884,0.23865852695145226,0.0,0.23684210526315788,1.0,19
